종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%)
005930,삼성전자,"57,900",100,0.2,"11,444,683","662,845,003,372","57,700","58,200","57,700","345,650,409,645,000",18.47,"5,969,782,550",,
000660,SK하이닉스,"82,900","-1,400",-1.7,"3,205,596","268,532,032,600","85,800","85,900","82,200","60,351,396,058,500",3.23,"728,002,365",,
035420,NAVER,"295,000","1,000",0.3,"648,182","190,145,908,500","296,000","297,500","289,500","48,457,701,525,000",2.59,"164,263,395",,
207940,삼성바이오로직스,"675,000","2,000",0.3,"109,274","74,243,784,000","674,000","690,000","665,000","44,661,375,000,000",2.39,"66,165,000",,
051910,LG화학,"627,000","16,000",2.6,"493,489","305,561,509,000","621,000","630,000","604,000","44,261,399,061,000",2.37,"70,592,343",,
005935,삼성전자우,"50,700",400,0.8,"2,041,736","103,010,034,400","50,300","50,900","50,100","41,720,355,690,000",2.23,"822,886,700",,
005380,현대차,"170,000","-1,500",-0.9,"2,076,987","353,228,976,000","172,500","174,000","166,000","36,323,591,790,000",1.94,"213,668,187",,
068270,셀트리온,"258,500","8,500",3.4,"1,251,340","324,735,415,500","252,500","264,500","252,000","34,895,881,273,000",1.86,"134,993,738",,
035720,카카오,"351,500",-500,-0.1,"449,701","158,459,382,500","356,000","358,000","346,500","30,955,971,948,500",1.65,"88,068,199",,
006400,삼성SDI,"412,000","2,000",0.5,"293,217","121,308,861,000","415,000","417,500","406,000","28,330,986,360,000",1.51,"68,764,530",,
051900,LG생활건강,"1,419,000","1,000",0.1,"15,061","21,497,707,000","1,445,000","1,445,000","1,419,000","22,162,221,543,000",1.18,"15,618,197",,
012330,현대모비스,"222,000","1,000",0.4,"340,801","76,274,427,000","224,000","228,500","219,500","21,102,142,068,000",1.13,"95,054,694",,
028260,삼성물산,"102,500",500,0.5,"287,351","29,579,988,500","102,500","104,000","102,500","19,155,925,802,500",1.02,"186,887,081",,
017670,SK텔레콤,"231,000",500,0.2,"162,365","37,485,092,500","231,500","232,500","230,000","18,652,259,241,000",1.00,"80,745,711",,
