gvkey,conm,fyr,fyear,총자산(천원),유동자산(천원),당좌자산(천원),현금및현금성자산(천원),매출채권및기타채권(천원),매출채권(천원),재고자산(천원),비유동자산(천원),유형자산(천원),무형자산(천원),*총금융자산(천원),총부채(천원),유동부채(천원),매입채무및기타채무(천원),매입채무(천원),단기금융부채(천원),단기사채(천원),유동성장기부채(천원),비유동부채(천원),장기금융부채(천원),사채(천원),장기차입금(천원),*총금융부채(천원),*총차입부채(천원),*단기차입부채(천원),*장기차입부채(천원),*순차입부채(천원),*총사채(천원),총자본(천원),자본금(천원),보통주자본금(천원),우선주자본금(천원),자기주식(천원),기타포괄손익누계액(천원),이익잉여금(천원),매출액(천원),매출원가(천원),매출총이익(천원),유무형자산상각비(천원),유형자산감가상각비(천원),무형자산상각비(천원),연구개발비(천원),영업이익(천원),세전계속사업이익(천원),계속사업법인세비용(천원),계속사업이익(천원),중단사업이익(천원),당기순이익(천원),기타포괄손익(천원),총포괄이익(천원),영업활동으로인한현금흐름(천원),투자활동으로인한현금흐름(천원),재무활동으로인한현금흐름(천원),stock
5930,삼성전자,12.0,2010,134288744000.0,61402589000.0,48038065000.0,9791419000.0,21308834000.0,19153114000.0,13364524000.0,72886155000.0,52964594000.0,2779439000.0,15728750000.0,44939653000.0,39944721000.0,24204782000.0,9148661000.0,9553655000.0,0.0,1123934000.0,4994932000.0,1221719000.0,587338000.0,536871000.0,10775374000.0,10775374000.0,8429721000.0,1221719000.0,-11704589000.0,692797000.0,89349091000.0,897514000.0,778047000.0,119467000.0,-7761927000.0,1835789000.0,85014550000.0,154630328000.0,102666824000.0,51963504000.0,578280000.0,351085000.0,227195000.0,9099352000.0,16621030000.0,19328656000.0,3182131000.0,16146525000.0,0.0,16146525000.0,1141484000.0,17288009000.0,23826779000.0,-23984877000.0,-152295000.0,005930
5930,삼성전자,12.0,2011,155800263000.0,71502063000.0,55785348000.0,14691761000.0,24153028000.0,21882127000.0,15716715000.0,84298200000.0,62043951000.0,3355236000.0,15409472000.0,54486633000.0,44319014000.0,28048288000.0,10276727000.0,9684014000.0,0.0,30292000.0,10167619000.0,4962596000.0,1280124000.0,3559554000.0,14646610000.0,14646610000.0,9653722000.0,4962596000.0,-12231025000.0,1285660000.0,101313630000.0,897514000.0,778047000.0,119467000.0,-7539561000.0,687321000.0,97622872000.0,165001771000.0,112145120000.0,52856651000.0,668620000.0,368123000.0,300497000.0,9955164000.0,15644291000.0,17191918000.0,3432875000.0,13759043000.0,0.0,13759043000.0,-887485000.0,12871558000.0,22917901000.0,-21112564000.0,3109729000.0,005930
5930,삼성전자,12.0,2012,181071570000.0,87269017000.0,69521604000.0,18791460000.0,26674596000.0,23861235000.0,17747413000.0,93802553000.0,68484743000.0,3729705000.0,23885986000.0,59591364000.0,46933052000.0,27350880000.0,9489111000.0,9442762000.0,0.0,999010000.0,12658312000.0,5452402000.0,1829374000.0,3521257000.0,14895164000.0,14895164000.0,8443752000.0,5452402000.0,-22553107000.0,2334524000.0,121480206000.0,897514000.0,778047000.0,119467000.0,-7350927000.0,-998711000.0,119985689000.0,201103613000.0,126651931000.0,74451682000.0,795989000.0,442080000.0,353909000.0,11532795000.0,29049338000.0,29915017000.0,6069732000.0,23845285000.0,0.0,23845285000.0,-1717080000.0,22128205000.0,37972809000.0,-31321554000.0,-1864508000.0,005930
5930,삼성전자,12.0,2013,214075018000.0,110760271000.0,91625403000.0,16284780000.0,27875934000.0,24988532000.0,19134868000.0,103314747000.0,75496388000.0,3980600000.0,44449609000.0,64059008000.0,51315409000.0,30154281000.0,8437139000.0,8864348000.0,0.0,2425831000.0,12743599000.0,2296185000.0,1311068000.0,902715000.0,11160533000.0,11160533000.0,6438517000.0,2296185000.0,-43335476000.0,1816151000.0,150016010000.0,897514000.0,778047000.0,119467000.0,-7323432000.0,-1982336000.0,148600282000.0,228692667000.0,137696309000.0,90996358000.0,957931000.0,555944000.0,401987000.0,14319402000.0,36785013000.0,38364279000.0,7889515000.0,30474764000.0,0.0,30474764000.0,-1006838000.0,29467926000.0,46707440000.0,-44747019000.0,-4137031000.0,005930
5930,삼성전자,12.0,2014,230422958000.0,115146026000.0,97828522000.0,16840766000.0,28234485000.0,24694610000.0,17317504000.0,115276932000.0,80872950000.0,4785473000.0,57644083000.0,62334770000.0,52013913000.0,32271523000.0,7914704000.0,9807966000.0,0.0,1778667000.0,10320857000.0,1457553000.0,1355882000.0,23989000.0,11265519000.0,11265519000.0,8029299000.0,1457553000.0,-50551821000.0,1361186000.0,168088188000.0,897514000.0,778047000.0,119467000.0,-8429313000.0,-4154204000.0,169529604000.0,206205987000.0,128278800000.0,77927187000.0,1070426000.0,670709000.0,399717000.0,14385506000.0,25025071000.0,27875034000.0,4480676000.0,23394358000.0,0.0,23394358000.0,-1993414000.0,21400944000.0,36975389000.0,-32806408000.0,-3057109000.0,005930
5930,삼성전자,12.0,2015,242179521000.0,124814725000.0,106002931000.0,22636744000.0,28520689000.0,25168026000.0,18811794000.0,117364796000.0,86477110000.0,5396311000.0,57188810000.0,63119716000.0,50502909000.0,27673141000.0,6187291000.0,11376973000.0,0.0,221548000.0,12616807000.0,1496990000.0,1230448000.0,193598000.0,12873963000.0,12873963000.0,11155425000.0,1496990000.0,-58619111000.0,1435890000.0,179059805000.0,897514000.0,778047000.0,119467000.0,-13442379000.0,-3964542000.0,185132014000.0,200653482000.0,123482118000.0,77171364000.0,970591000.0,714883000.0,255708000.0,13705695000.0,26413442000.0,25960995000.0,6900851000.0,19060144000.0,0.0,19060144000.0,76071000.0,19136215000.0,40061761000.0,-27167787000.0,-6573509000.0,005930
5930,삼성전자,12.0,2016,262174324000.0,141429704000.0,123076201000.0,32111442000.0,27800408000.0,24279211000.0,18353503000.0,120744620000.0,91473041000.0,5344020000.0,62875147000.0,69211291000.0,54704095000.0,31223277000.0,6485039000.0,13979606000.0,0.0,1232817000.0,14507196000.0,1302780000.0,58542000.0,1179111000.0,15282386000.0,15282386000.0,12746789000.0,1302780000.0,-72899927000.0,1272076000.0,192963033000.0,897514000.0,778047000.0,119467000.0,-9750326000.0,-2257097000.0,193086317000.0,201866745000.0,120277715000.0,81589030000.0,1001816000.0,780223000.0,221593000.0,14111381000.0,29240672000.0,30713652000.0,7987560000.0,22726092000.0,0.0,22726092000.0,1991400000.0,24717492000.0,47385644000.0,-29658675000.0,-8669514000.0,005930
5930,삼성전자,12.0,2017,301752090000.0,146982464000.0,121999109000.0,30545130000.0,31804956000.0,27695995000.0,24983355000.0,154769626000.0,111665648000.0,14760483000.0,60498002000.0,87260662000.0,67175114000.0,37773395000.0,9083907000.0,16046238000.0,0.0,278619000.0,20085548000.0,2767807000.0,953361000.0,1756908000.0,18814045000.0,18814045000.0,15767619000.0,2767807000.0,-64370156000.0,958562000.0,214491428000.0,897514000.0,778047000.0,119467000.0,-6228187000.0,-7677040000.0,215811200000.0,239575376000.0,129290661000.0,110284715000.0,1336620000.0,948393000.0,388227000.0,16355612000.0,53645038000.0,56195967000.0,14009220000.0,42186747000.0,0.0,42186747000.0,-5502257000.0,36684490000.0,62162041000.0,-49385216000.0,-12560867000.0,005930
5930,삼성전자,12.0,2018,339357244000.0,174697424000.0,145712720000.0,30340505000.0,36948466000.0,33867733000.0,28984704000.0,164659820000.0,115416724000.0,14891598000.0,78914525000.0,91604067000.0,69081510000.0,40482393000.0,8479916000.0,13620046000.0,0.0,33386000.0,22522557000.0,1047057000.0,961972000.0,34963000.0,14667103000.0,14667103000.0,13586660000.0,1047057000.0,-86272840000.0,967411000.0,247753177000.0,897514000.0,778047000.0,119467000.0,0.0,-7991251000.0,242698956000.0,243771415000.0,132394411000.0,111377004000.0,1447690000.0,1008805000.0,438885000.0,18354080000.0,58886669000.0,61159958000.0,16815101000.0,44344857000.0,0.0,44344857000.0,-12242000.0,44332615000.0,67031863000.0,-52240453000.0,-15090222000.0,005930
5930,삼성전자,12.0,2019,352564497000.0,181385260000.0,154618796000.0,26885999000.0,39310463000.0,35131343000.0,26766464000.0,171179237000.0,119825474000.0,20703504000.0,91863420000.0,89684076000.0,63782764000.0,40977714000.0,8718222000.0,15239558000.0,0.0,846090000.0,25901312000.0,3172479000.0,975298000.0,2197181000.0,18412037000.0,18412037000.0,14393468000.0,3172479000.0,-90367666000.0,980944000.0,262880421000.0,897514000.0,778047000.0,119467000.0,0.0,-5029258000.0,254582894000.0,230400881000.0,147239549000.0,83161332000.0,2040817000.0,1571473000.0,469344000.0,19907236000.0,27768509000.0,30432189000.0,8693324000.0,21738865000.0,0.0,21738865000.0,3016194000.0,24755059000.0,45382915000.0,-39948171000.0,-9484510000.0,005930
