stock,date,price,ret
005380,1995-05-02,46200,-0.6
005380,1995-05-03,48300,4.6
005380,1995-05-04,48500,0.4
005380,1995-05-06,49200,1.4
005380,1995-05-08,48800,-0.8
005380,1995-05-09,47800,-2.0
005380,1995-05-10,47100,-1.5
005380,1995-05-11,45600,-3.2
005380,1995-05-12,45700,0.2
005380,1995-05-13,45000,-1.5
005380,1995-05-15,44800,-0.4
005380,1995-05-16,44300,-1.1
005380,1995-05-17,44600,0.7
005380,1995-05-18,44000,-1.4
005380,1995-05-19,44300,0.7
005380,1995-05-20,45000,1.6
005380,1995-05-22,44800,-0.4
005380,1995-05-23,44600,-0.4
005380,1995-05-24,44200,-0.9
005380,1995-05-25,44200,0.0
005380,1995-05-26,43800,-0.9
005380,1995-05-27,43600,-0.5
005380,1995-05-29,45400,4.1
005380,1995-05-30,44800,-1.3
005380,1995-05-31,45100,0.7
005380,1995-06-01,46000,2.0
005380,1995-06-02,46600,1.3
005380,1995-06-03,46600,0.0
005380,1995-06-05,47800,2.6
005380,1995-06-07,47600,-0.4
005380,1995-06-08,47300,-0.6
005380,1995-06-09,46000,-2.8
005380,1995-06-10,46300,0.6
005380,1995-06-12,46500,0.4
005380,1995-06-13,46400,-0.2
005380,1995-06-14,46400,0.0
005380,1995-06-15,46000,-0.9
005380,1995-06-16,45800,-0.4
005380,1995-06-17,46200,0.9
005380,1995-06-19,46200,0.0
005380,1995-06-20,46000,-0.4
005380,1995-06-21,45400,-1.3
005380,1995-06-22,44500,-2.0
005380,1995-06-23,45000,1.1
005380,1995-06-24,44900,-0.2
005380,1995-06-26,45100,0.4
005380,1995-06-28,46100,2.2
005380,1995-06-29,46500,0.9
005380,1995-06-30,46800,0.6
005380,1995-07-01,46500,-0.6
005380,1995-07-03,45700,-1.7
005380,1995-07-04,44800,-2.0
005380,1995-07-05,44500,-0.7
005380,1995-07-06,45500,2.2
005380,1995-07-07,46600,2.4
005380,1995-07-08,45900,-1.5
005380,1995-07-10,46000,0.2
005380,1995-07-11,46100,0.2
005380,1995-07-12,46200,0.2
005380,1995-07-13,46200,0.0
005380,1995-07-14,45000,-2.6
005380,1995-07-15,44700,-0.7
005380,1995-07-18,44000,-1.6
005380,1995-07-19,44700,1.6
005380,1995-07-20,44500,-0.4
005380,1995-07-21,44100,-0.9
005380,1995-07-22,44200,0.2
005380,1995-07-24,44300,0.2
005380,1995-07-25,44100,-0.4
005380,1995-07-26,44000,-0.2
005380,1995-07-27,43500,-1.1
005380,1995-07-28,43100,-0.9
005380,1995-07-29,43000,-0.2
005380,1995-07-31,43200,0.5
005380,1995-08-01,43500,0.7
005380,1995-08-02,42500,-2.3
005380,1995-08-03,41100,-3.3
005380,1995-08-04,40000,-2.7
005380,1995-08-05,39500,-1.2
005380,1995-08-07,38700,-2.0
005380,1995-08-08,38200,-1.3
005380,1995-08-09,38900,1.8
