stock,price,ret
005380,46200,-0.6
005380,48300,4.6
005380,48500,0.4
005380,49200,1.4
005380,48800,-0.8
005380,47800,-2.0
005380,47100,-1.5
005380,45600,-3.2
005380,45700,0.2
005380,45000,-1.5
005380,44800,-0.4
005380,44300,-1.1
005380,44600,0.7
005380,44000,-1.4
005380,44300,0.7
005380,45000,1.6
005380,44800,-0.4
005380,44600,-0.4
005380,44200,-0.9
005380,44200,0.0
005380,43800,-0.9
005380,43600,-0.5
005380,45400,4.1
005380,44800,-1.3
005380,45100,0.7
005380,46000,2.0
005380,46600,1.3
005380,46600,0.0
005380,47800,2.6
005380,47600,-0.4
005380,47300,-0.6
005380,46000,-2.8
005380,46300,0.6
005380,46500,0.4
005380,46400,-0.2
005380,46400,0.0
005380,46000,-0.9
005380,45800,-0.4
005380,46200,0.9
005380,46200,0.0
005380,46000,-0.4
005380,45400,-1.3
005380,44500,-2.0
005380,45000,1.1
005380,44900,-0.2
005380,45100,0.4
005380,46100,2.2
005380,46500,0.9
005380,46800,0.6
005380,46500,-0.6
005380,45700,-1.7
005380,44800,-2.0
005380,44500,-0.7
005380,45500,2.2
005380,46600,2.4
005380,45900,-1.5
005380,46000,0.2
005380,46100,0.2
005380,46200,0.2
005380,46200,0.0
005380,45000,-2.6
005380,44700,-0.7
005380,44000,-1.6
005380,44700,1.6
005380,44500,-0.4
005380,44100,-0.9
005380,44200,0.2
005380,44300,0.2
005380,44100,-0.4
005380,44000,-0.2
005380,43500,-1.1
005380,43100,-0.9
005380,43000,-0.2
005380,43200,0.5
005380,43500,0.7
005380,42500,-2.3
005380,41100,-3.3
005380,40000,-2.7
005380,39500,-1.2
005380,38700,-2.0
005380,38200,-1.3
005380,38900,1.8
005380,38000,-2.3
005380,37500,-1.3
005380,37700,0.5
005380,38000,0.8
005380,37500,-1.3
005380,37000,-1.3
005380,37000,0.0
005380,37000,0.0
005380,37000,0.0
005380,38200,3.2
005380,38500,0.8
005380,38200,-0.8
005380,37900,-0.8
005380,38000,0.3
005380,38000,0.0
005380,37900,-0.3
005380,37800,-0.3
005380,38200,1.1
005380,38200,0.0
005380,39000,2.1
005380,38500,-1.3
005380,38500,0.0
005380,39800,3.4
005380,39700,-0.2
005380,39500,-0.5
005380,38900,-1.5
005380,38000,-2.3
005380,37300,-1.8
005380,38300,2.7
005380,38000,-0.8
005380,38500,1.3
005380,39300,2.1
005380,41000,4.3
005380,41100,0.2
005380,40900,-0.5
005380,40900,0.0
005380,40500,-1.0
005380,40500,0.0
005380,40600,0.2
005380,40800,0.5
005380,41900,2.7
005380,41400,-1.2
005380,40900,-1.2
005380,41400,1.2
005380,42000,1.4
005380,42500,1.2
005380,42500,0.0
005380,42500,0.0
005380,42100,-0.9
005380,42300,0.5
005380,43900,3.8
005380,43000,-2.0
005380,42900,-0.2
005380,42500,-0.9
005380,42400,-0.2
005380,42200,-0.5
005380,42000,-0.5
005380,41800,-0.5
005380,41800,0.0
005380,41500,-0.7
005380,41900,1.0
005380,42600,1.7
005380,42700,0.2
005380,42700,0.0
005380,42600,-0.2
005380,42300,-0.7
005380,42700,1.0
005380,42700,0.0
005380,42400,-0.7
005380,42400,0.0
005380,42400,0.0
005380,42200,-0.5
005380,41700,-1.2
005380,41500,-0.5
005380,40300,-2.9
005380,39800,-1.2
005380,40500,1.8
005380,39900,-1.5
005380,39400,-1.2
005380,39000,-1.0
005380,39000,0.0
005380,40000,2.6
005380,39400,-1.5
005380,39100,-0.8
005380,38000,-2.8
005380,37000,-2.6
005380,37900,2.4
005380,37900,0.0
005380,37400,-1.3
005380,37400,0.0
005380,37600,0.5
005380,37500,-0.3
005380,36400,-2.9
005380,36700,0.8
005380,36500,-0.5
005380,36800,0.8
005380,38000,3.3
005380,37700,-0.8
005380,37100,-1.6
005380,36600,-1.4
005380,36700,0.3
005380,35900,-2.2
005380,35700,-0.6
005380,35000,-2.0
005380,35200,0.6
005380,35000,-0.6
005380,34700,-0.9
005380,34500,-0.6
005380,35400,2.6
005380,35700,0.8
005380,36200,1.4
005380,36200,0.0
005380,36100,-0.3
005380,35600,-1.4
005380,35100,-1.4
005380,34600,0.3
005380,32800,-5.2
005380,32800,0.0
005380,33000,0.6
005380,33300,0.9
005380,34300,3.0
005380,34700,1.2
005380,34300,-1.2
005380,34000,-0.9
005380,33400,-1.8
005380,33000,-1.2
005380,33000,0.0
005380,32700,-0.9
005380,32400,-0.9
005380,32400,0.0
005380,31900,-1.5
005380,32000,0.3
005380,32600,1.9
005380,34300,5.2
005380,33900,-1.2
005380,33800,-0.3
005380,33600,-0.6
005380,33900,0.9
005380,33900,0.0
005380,34500,1.8
005380,34500,0.0
005380,34400,-0.3
005380,34200,-0.6
005380,34200,0.0
005380,34000,-0.6
005380,34100,0.3
005380,34300,0.6
005380,33500,-2.3
005380,33600,0.3
005380,33300,-0.9
005380,32800,-1.5
005380,33100,0.9
005380,33500,1.2
005380,33600,0.3
005380,34100,1.5
005380,33200,-2.6
005380,32900,-0.9
005380,32400,-1.5
005380,32500,0.3
005380,32800,0.9
005380,33600,2.4
005380,34000,1.2
005380,34500,1.5
005380,35500,2.9
005380,35600,0.3
005380,35600,0.0
005380,36600,2.8
005380,35900,-1.9
005380,35900,0.0
005380,36000,0.3
005380,35400,-1.7
005380,35500,0.3
005380,35900,1.1
005380,36300,1.1
005380,37000,1.9
005380,38200,3.2
005380,38500,0.8
005380,38700,0.5
005380,39200,1.3
005380,39200,0.0
005380,39200,0.0
005380,38600,-1.5
005380,38300,-0.8
005380,38300,0.0
005380,38400,0.3
005380,38600,0.5
005380,40800,5.7
005380,40300,-1.2
005380,38700,-4.0
005380,38400,-0.8
005380,38400,0.0
005380,38500,0.3
005380,38500,0.0
005380,38500,0.0
005380,38600,0.3
005380,39200,1.6
005380,39200,0.0
005380,39400,0.5
005380,40000,1.5
005380,39500,-1.2
005380,39100,-1.0
005380,39800,1.8
005380,39500,-0.8
005380,39300,-0.5
005380,39500,0.5
005380,38600,-2.3
005380,38800,0.5
005380,39100,0.8
005380,39500,1.0
005380,39500,0.0
005380,39500,0.0
005380,38800,-1.8
005380,37200,-4.1
005380,36800,-1.1
005380,36900,0.3
005380,37000,0.3
005380,38000,2.7
005380,37100,-2.4
005380,36400,-1.9
005380,35900,-1.4
005380,36000,0.3
005380,35900,-0.3
005380,35700,-0.6
005380,35100,-1.7
005380,34900,-0.6
005380,34600,-0.9
005380,33800,-2.3
005380,34500,2.1
005380,33700,-2.3
005380,33900,0.6
005380,33700,-0.6
005380,33700,0.0
005380,34400,2.1
005380,33000,-4.1
005380,33100,0.3
005380,33100,0.0
005380,33300,0.6
005380,33200,-0.3
005380,33200,0.0
005380,33100,-0.3
005380,32800,-0.9
005380,32200,-1.8
005380,32500,0.9
005380,32700,0.6
005380,32900,0.6
005380,32600,-0.9
005380,33200,1.8
005380,32300,-2.7
005380,32300,0.0
005380,31600,-2.2
005380,30300,-4.1
005380,30400,0.3
005380,30600,0.7
005380,30700,0.3
005380,30900,0.6
005380,30500,-1.3
005380,30500,0.0
005380,30300,-0.7
005380,30300,0.0
005380,30600,1.0
005380,30600,0.0
005380,31000,1.3
005380,30700,-1.0
005380,30600,-0.3
005380,30600,0.0
005380,30600,0.0
005380,30700,0.3
005380,30700,0.0
005380,30800,0.3
005380,30800,0.0
005380,30400,-1.3
005380,30500,0.3
005380,30300,-0.7
005380,29000,-4.3
005380,29300,1.0
005380,29300,0.0
005380,30000,2.4
005380,30500,1.7
005380,31000,1.6
005380,31200,0.6
005380,31000,-0.6
005380,30800,-0.6
005380,30500,-1.0
005380,30600,0.3
005380,30700,0.3
005380,31300,2.0
005380,31800,1.6
005380,32000,0.6
005380,31500,-1.6
005380,31100,-1.3
005380,31200,0.3
005380,31500,1.0
005380,31700,0.6
005380,32000,1.0
005380,31700,-0.9
005380,32400,2.2
005380,32600,0.6
005380,32700,0.3
005380,32500,-0.6
005380,31500,-3.1
005380,31700,0.6
005380,31400,-1.0
005380,31200,-0.6
005380,31100,-0.3
005380,30600,-1.6
005380,30600,0.0
005380,30400,-0.6
005380,30100,-1.0
005380,30100,0.0
005380,30300,0.7
005380,30900,2.0
005380,31000,0.3
005380,31200,0.6
005380,30300,-2.9
005380,29800,-1.6
005380,31000,4.0
005380,30100,-2.9
005380,30000,-0.3
005380,30000,0.0
005380,30500,1.7
005380,30700,0.7
005380,30500,-0.6
005380,30500,0.0
005380,29900,-2.0
005380,30000,0.3
005380,30000,0.0
005380,30200,0.7
005380,29800,-1.3
005380,28900,-3.0
005380,27600,-4.5
005380,28000,1.4
005380,27900,-0.4
005380,27600,-1.1
005380,29000,5.1
005380,29000,0.0
005380,27400,-5.5
005380,27500,0.4
005380,27000,-1.8
005380,26800,-0.7
005380,27500,2.6
005380,27200,-1.1
005380,28800,5.9
005380,28700,-0.4
005380,27900,-2.8
005380,28400,1.8
005380,28400,0.0
005380,27700,-2.5
005380,28000,1.1
005380,27900,-0.4
005380,28700,2.9
005380,29000,1.0
005380,28600,-1.4
005380,28600,0.0
005380,28200,-1.4
005380,27700,-1.8
005380,27500,-0.7
005380,27400,-0.4
005380,27000,-1.5
005380,26600,-1.5
005380,26200,-1.5
005380,25700,-1.9
005380,26200,2.0
005380,25800,-1.5
005380,25700,-0.4
005380,25500,-0.8
005380,25000,-2.0
005380,24600,-1.6
005380,24600,0.0
005380,25200,2.4
005380,25800,2.4
005380,26300,1.9
005380,25700,-2.3
005380,25000,-2.7
005380,25000,0.0
005380,24700,-1.2
005380,25000,1.2
005380,24900,-0.4
005380,24600,-1.2
005380,24700,0.4
005380,24600,-0.4
005380,24300,-1.2
005380,24000,-1.2
005380,23600,-1.7
005380,24500,3.8
005380,24900,1.6
005380,24500,-1.6
005380,24400,-0.4
005380,23600,-3.3
005380,22600,-4.2
005380,22600,0.0
005380,22300,-1.3
005380,22200,-0.4
005380,22000,-0.9
005380,21800,-0.9
005380,21500,-1.4
005380,20100,-6.5
005380,20300,1.0
005380,20500,1.0
005380,19600,-4.4
005380,19200,-2.0
005380,19800,3.1
005380,21300,7.6
005380,22000,3.3
005380,21500,-2.3
005380,21500,0.0
005380,21300,-0.9
005380,20000,-6.1
005380,20000,0.0
005380,20000,3.1
005380,20000,0.0
005380,20000,0.0
005380,20000,0.0
005380,20500,2.5
005380,21700,5.8
005380,22000,1.4
005380,22300,1.4
005380,22700,1.8
005380,24500,7.9
005380,24200,-1.2
005380,24500,1.2
005380,24000,-2.0
005380,23800,-0.8
005380,24400,2.5
005380,23800,-2.5
005380,23000,-3.4
005380,22500,-2.2
005380,24000,6.7
005380,23200,-3.3
005380,22600,-2.6
005380,22800,0.9
005380,23200,1.8
005380,24000,3.4
005380,24200,0.8
005380,24200,0.0
005380,24700,2.1
005380,24400,-1.2
005380,24100,-1.2
005380,24100,0.0
005380,24100,0.0
005380,24100,0.0
005380,24200,0.4
005380,24200,0.0
005380,24300,0.4
005380,24300,0.0
