stock,year,ID,date,fname,price,pricedelta,ret,volume_stock,volume_money,beg,high,low,marketcap,marketcappct,outstd,market,marketid,department
000060,2010,28707,2010-12-30,메리츠화재,8710.0,340,4.1,2403198,20792143170,8430,8790,8400,1078298000000,0.09,123800000,,,
000060,2011,28955,2011-12-29,메리츠화재,11800.0,-100,-0.8,81461,961161000,11800,11950,11700,1141060000000,0.1,96700000,,,
000060,2012,29203,2012-12-28,메리츠화재,14150.0,0,0.0,353005,5067396850,14150,14500,14150,1368305000000,0.11,96700000,,,
000060,2013,29450,2013-12-30,메리츠화재,15150.0,-150,-1.0,274914,4182306450,15250,15600,15050,1535131320000,0.12,101328800,,,
000060,2014,29695,2014-12-30,메리츠화재,12450.0,250,2.0,230123,2891531900,12250,12750,12200,1319239350000,0.1,105963000,,,
000060,2015,29943,2015-12-30,메리츠화재,16150.0,150,0.9,128635,2058617600,15850,16150,15750,1711302450000,0.12,105963000,,,
000060,2016,30189,2016-12-29,메리츠화재,15300.0,-250,-1.6,85538,1315725050,15500,15550,15250,1688171400000,0.11,110338000,,,
000060,2017,30432,2017-12-28,메리츠화재,23500.0,-400,-1.7,99099,2337745450,23900,23900,23450,2592943000000,0.14,110338000,,,
000060,2018,30676,2018-12-28,메리츠화재,21850.0,300,1.4,124766,2705559100,21250,21900,21250,2483908000000,0.16,113680000,,,
000060,2019,12873276,2019-05-31,메리츠화재,21850.0,500,2.34,98961,2140876950,21100,21850,21100,2483908000000,0.12,113680000,KOSPI,STK,
000070,2010,34988,2010-12-30,삼양사,69800.0,1800,2.6,30056,2082981600,68500,70000,67900,699261914200,0.06,10018079,,,
000070,2011,35236,2011-12-29,삼양홀딩스,77200.0,-2100,-2.6,29014,2259764200,79500,79500,77000,444377559200,0.04,5756186,,,
000070,2012,35484,2012-12-28,삼양홀딩스,71000.0,-1100,-1.5,4899,351333600,72100,72400,71000,547054787000,0.04,7704997,,,
000070,2013,35731,2013-12-30,삼양홀딩스,74600.0,-3700,-4.7,17190,1302395800,78700,78700,74600,609516689000,0.05,8170465,,,
000070,2014,35976,2014-12-30,삼양홀딩스,89700.0,-900,-1.0,5325,482458300,89800,91600,89000,768215108700,0.06,8564271,,,
000070,2015,36224,2015-12-30,삼양홀딩스,159000.0,3500,2.2,23608,3703427000,155000,159500,153500,1361719089000,0.09,8564271,,,
000070,2016,36470,2016-12-29,삼양홀딩스,119500.0,-2000,-1.6,11186,1340906000,121000,121500,119000,1023430384500,0.07,8564271,,,
000070,2017,36713,2017-12-28,삼양홀딩스,122000.0,1000,0.8,17049,2084976500,121500,124000,118500,1044841062000,0.06,8564271,,,
000070,2018,36957,2018-12-28,삼양홀딩스,78500.0,900,1.2,17577,1380680200,77400,79500,77400,672295273500,0.04,8564271,,,
000070,2019,12873464,2019-05-31,삼양홀딩스,72400.0,-900,-1.23,9159,665678400,72400,73400,72400,620053220400,0.03,8564271,KOSPI,STK,
000080,2010,46183,2010-12-30,진로,35400.0,-100,-0.3,46559,1651269050,35650,35700,35350,1433533726200,0.12,40495303,,,
000080,2011,46431,2011-12-29,하이트진로,25150.0,-900,-3.4,181114,4578480000,25600,26000,25050,1747364507100,0.15,69477714,,,
000080,2012,46679,2012-12-28,하이트진로,30400.0,-100,-0.3,146138,4465570200,30600,30750,30300,2112122505600,0.17,69477714,,,
000080,2013,46926,2013-12-30,하이트진로,22050.0,0,0.0,272799,5972739650,21950,22150,21600,1546446122550,0.12,70133611,,,
