title,summary,informative,sentiment,url,press
"오스템임플란트, 2분기 매출 2654억원…사상 최대 실적","기사내용 요약 매출 2654억원 33.9%↑, 영업이익 562억원 79.7%↑ 해외 사업이 실적 견인…매출 1924억원 42.3 …",1,1,https://n.news.naver.com/mnews/article/003/0011325156?sid=101,뉴시스
[단독]'수상한 외환거래' 우리·신한 外 더 있다…29일 결론,"금융감독원이 조사에 착수한 금융권의 ‘비정상적 외환거래’ 정황을 우리은행, 신한은행뿐 아니라 다른 은행에서도 포착한 것으로 알려 …",0,0,https://n.news.naver.com/mnews/article/018/0005275969?sid=101,이데일리
단식농성 이어가는 CJ대한통운 택배노조,유성욱 전국택배연대노동조합 CJ대한통운 본부장이 4일 오후 서울 중구 CJ대한통운 앞에서 울산 신범서대리점 부당해고 철회를 촉구 …,0,0,https://n.news.naver.com/mnews/article/421/0006258909?sid=102,뉴스1
"삼성엔지니어링, 프로젝트 매출 증가로 호실적 이어가",삼성엔지니어링이 올해 2분기 2조4934억원의 매출과 1535억원의 영업이익을 달성했다고 오늘(27일) 발표했습니다. 1년전보다 …,1,1,https://n.news.naver.com/mnews/article/374/0000296451?sid=101,SBS Biz
"에이프로젠, 경영권 매각 추진…5000억원 규모 유상증자 계획",국내외 제약·바이오 기업 등 후보 물색 중 회사 측 “구체적 거래 규모 등 아직 미정” 국내 1호 바이오 유니콘 기업(기업가치  …,1,0,https://n.news.naver.com/mnews/article/366/0000834676?sid=105,조선비즈
"에이치앤비디자인, 400억원 규모 부동산 광고 및 분양대행 사업 수주",에이치앤비디자인은 의정부 민락동 지식산업센터의 광고 및 분양대행 사업을 수주했다고 3일 밝혔다. 해당 사업의 광고 및 분양대행  …,1,1,https://n.news.naver.com/mnews/article/421/0006257155?sid=101,뉴스1
상반기 글로벌 투자 52% 늘어난 풍력발전…관련주 담아볼까,"해상풍력발전 투자액 전년 대비 52% 증가 발전기 부품 수입 의존도 높은 미국, 풍력발전 확대 의지 강해 국내 풍력 관련 기업에 …",0,1,https://n.news.naver.com/mnews/article/366/0000834870?sid=101,조선비즈
"동성화인텍, 삼성중공업에 3282억원 규모 보냉자제 공급",동성화인텍은 삼성중공업과 3282억원 규모의 LNG운반선 초저온 보냉자재 공급계약을 체결했다고 29일 공시했다. 확정 계약금액은 …,1,1,https://n.news.naver.com/mnews/article/277/0005125342?sid=101,아시아경제
"압타바이오, 경구형 코로나19 치료제 中 특허 취득",난치성 항암치료제 및 당뇨합병증 치료제 개발업체 압타바이오(293780)는 경구용 의약품 개발을 위한 중국 특허를 취득했다고 2 …,1,1,https://n.news.naver.com/mnews/article/018/0005282142?sid=101,이데일리
"미래에셋그룹 "" 투명한 지배구조로 'ESG 경영' 박차""",미래에셋그룹이 투명한 기업 지배구조를 유지하기 위한 노력을 거듭하고 있다고 밝혔다. 미래에셋은 재계 서열 20위 내 그룹 중 상 …,1,0,https://n.news.naver.com/mnews/article/011/0004086112?sid=101,서울경제
"오펙+ '소폭 증산' 결정…바이든 ""美 주유소 절반 4달러 아래""",기사내용 요약 바이든 '사우디 방문' 이후 첫 오펙 회의…일일 10만 배럴 '소폭 증산' 김난영 특파원 = 석유수출국기구(OPE …,0,0,https://n.news.naver.com/mnews/article/003/0011343740?sid=104,뉴시스
"키다리스튜디오, 웹툰 IP 재판매 수익 인식에 주가 급등",키다리스튜디오의 주가가 2분기 깜짝 실적에 급등했다. 이 회사는 '틱톡' 운영사인 도우인그룹(옛 바이트댄스)에 웹툰 지식재산권( …,1,1,https://n.news.naver.com/mnews/article/015/0004732932?sid=101,한국경제
